"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Configuración de atribución",Resultados,"Indicador de resultado",Alcance,Impresiones,"Coste por resultados","Importe gastado (PEN)",Fin
2025-11-24,2026-01-30,,0,0,0,"Configuración de atribución múltiple",,,1853644,4679129,,16706.48,
2025-11-24,2026-01-30,"Campaña de seguidores - 1era semana enero",completed,847.46,"Toda la campaña","7 días después del clic o 1 día después de la visualización",3074,actions:like,284361,575392,0.2756864,847.46,2026-01-07
2025-11-24,2026-01-30,"Campaña ""Evento FIBA 2""",completed,42.37,"Toda la campaña","7 días después del clic o 1 día después de la visualización",68,actions:rsvp,15867,19619,0.6225,42.33,2026-01-09
2025-11-24,2026-01-30,"Campaña ""Post evento FIBA 2""",completed,42.37,"Toda la campaña","7 días después del clic o 1 día después de la visualización",513,actions:post_engagement,7227,8058,0.08239766,42.27,2026-01-09
2025-11-24,2026-01-30,"Campaña ""Chiclayo básquet""",archived,84.75,"Toda la campaña",-,,,0,0,,0,2026-01-10
2025-11-24,2026-01-30,"Campaña ""Básquet Chiclayo""",completed,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",743,actions:post_engagement,16265,22845,0.11403769,84.73,2026-01-11
2025-11-24,2026-01-30,"Campaña ""Posición de Somos Perú""",completed,84.75,"Toda la campaña",-,,,0,0,,0,2026-01-13
2025-11-24,2026-01-30,"Tráfico ""Pronunciamiento Jerí""",inactive,169.5,"Toda la campaña",-,,,0,0,,0,2026-01-16
2025-11-24,2026-01-30,"Campaña ""Presentación en Loreto""",inactive,169.5,"Toda la campaña","7 días después del clic o 1 día después de la visualización",35610,actions:post_engagement,41430,53957,0.0020879,74.35,2026-01-25
2025-11-24,2026-01-30,"Campaña de seguidores - 4ta semana enero",active,847.46,"Toda la campaña","7 días después del clic o 1 día después de la visualización",1562,actions:like,77732,123464,0.29263124,457.09,2026-02-01
2025-11-24,2026-01-30,"Campaña ""DM Whatsapp - Somistas"" - Copia",recently_completed,847.73,"Toda la campaña","7 días después del clic o 1 día después de la visualización",194,actions:onsite_conversion.messaging_conversation_started_7d,24884,64757,4.35427835,844.73,2026-01-29
2025-11-24,2026-01-30,"Campaña ""Peruanos en Madrid""",recently_rejected,169.5,"Toda la campaña",-,,,0,0,,0,2026-02-03
2025-11-24,2026-01-30,"Campaña de seguidores ""diaria""",active,169.5,Diario,"7 días después del clic o 1 día después de la visualización",1214,actions:like,47103,65068,0.2625453,318.73,2026-02-01
2025-11-24,2026-01-30,"Campaña ""Video Loreto""",active,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",8635,actions:post_engagement,11800,12973,0.00225594,19.48,2026-02-04
2025-11-24,2026-01-30,"Campaña ""Video Chiclayo""",active,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",11888,actions:post_engagement,13810,14480,0.00172779,20.54,2026-02-04
2025-11-24,2026-01-30,"Campaña ""Video Ica""",active,423.74,"Toda la campaña","7 días después del clic o 1 día después de la visualización",36249,actions:post_engagement,49576,55678,0.00277277,100.51,2026-02-04
2025-11-24,2026-01-30,"Campaña ""Video Loreto"" - Segmentado",active,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",7017,actions:post_engagement,10893,12147,0.00325353,22.83,2026-02-04
2025-11-24,2026-01-30,"Campaña ""Video Chiclayo"" - Segmentado",active,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",10965,actions:post_engagement,12374,13597,0.00195622,21.45,2026-02-04
2025-11-24,2026-01-30,"Campaña ""Video Ica"" - Segmentado",active,169.5,"Toda la campaña",-,14359,actions:post_engagement,17902,22738,0.00294798,42.33,2026-02-04
2025-11-24,2026-01-30,"Campaña ""George Forsyth - Cascajal""",active,423.74,"Toda la campaña","7 días después del clic o 1 día después de la visualización",35295,actions:post_engagement,51640,55648,0.00265193,93.6,2026-02-04
2025-11-24,2026-01-30,"Campaña ""Mi manada""",active,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",11277,actions:post_engagement,13980,13980,0.00162809,18.36,2026-02-04
